Account_Number,Account_Type,Final_Decision,Current_Delinquency_status,Application_Date,Application_Score,Cheque_Card_Flag,Existing_Customer_Flag,Gross_Annual_Income,Home_Telephone_Number,Insurance_Required,Loan_Amount,Loan_Payment_Frequency,Loan_Payment_Method,Marital_Status,Number_of_Dependants,Number_of_Payments,Occupation_Code,Promotion_Type,Residential_Status,Time_at_Address,Time_in_Employment,Time_with_Bank,Weight_Factor,GB_Flag,Age_of_Applicant,Application_Month,Bureau_Score,SP_ER_Reference,SP_Number_Of_Searches_L6M,SP_Number_of_CCJs,Loan_to_income,split
10721192550,FL,Decline,,20060308,815,N,N,0,Y,Y,4000,,,M,0,0,P,AD,T,2100,0,404,2,Rejects,47,200603,809,3,0,0,-9999997,Development
10737044729,FL,Accept,0,20070110,1030,Y,N,12000,Y,N,1500,M,B,S,0,12,B,RR,O,2400,106,507,2,Good,24,200701,983,1,2,0,12.5,Development
10552192414,VL,Accept,6,20060402,965,Y,N,7500,Y,N,5000,M,Q,M,0,999,B,RR,H,1000,301,608,2.5,Bad,43,200604,973,1,1,0,66.67,Development
10005994988,FL,Accept,,20060523,1040,Y,N,17300,Y,N,1000,M,B,M,0,12,B,RR,H,302,302,1204,2,NTU,51,200605,1002,1,3,0,5.78,Development
10286230597,FL,Accept,0,20060908,985,Y,N,25000,Y,Y,2000,M,B,M,2,999,B,RR,H,306,2102,1212,2,Good,39,200609,976,1,2,0,8,Development
10405737463,FL,Accept,0,20060727,970,Y,N,17280,Y,N,2300,W,S,M,1,24,M,RR,H,600,700,108,2,Good,48,200607,897,1,0,0,13.31,Development
10895190147,VL,Accept,1,20060821,930,Y,N,7800,Y,Y,4800,W,S,M,0,999,B,RR,H,2700,1000,10,2,Good,27,200608,843,4,5,0,61.54,Development
10600626710,VL,Accept,1,20060713,940,Y,N,9360,Y,Y,1200,W,S,S,0,999,B,RR,H,1000,200,604,2,Good,29,200607,890,1,0,0,12.82,Development
10791685225,FL,Accept,1,20060628,955,Y,N,14000,Y,N,3500,X,Q,S,0,24,M,RR,O,2500,402,711,2,Good,25,200606,931,4,0,0,25,Development
10989020492,FL,Accept,1,20060617,915,N,N,14000,Y,Y,18200,M,B,M,0,24,M,RR,H,3300,1400,1212,2,Good,54,200606,866,1,0,0,130,Development
10915738934,FL,Accept,1,20060325,935,N,N,15000,Y,Y,49300,M,B,S,0,30,P,RR,T,100,206,607,2,Good,25,200603,957,2,1,0,328.67,Development
10164286717,FL,Accept,1,20070118,955,Y,Y,14000,Y,Y,3423,M,B,M,1,36,B,RR,H,300,800,806,2,Good,26,200701,883,1,13,0,24.45,Development
10431870329,FL,Accept,1,20061222,915,N,N,13000,Y,Y,1672,W,Q,M,2,24,M,RR,T,600,606,701,2,Good,25,200612,885,1,1,0,12.86,Development
10213631766,FL,Accept,0,20061026,985,Y,N,21600,Y,N,7000,X,B,M,2,999,B,RR,H,702,1700,701,2,Good,33,200610,1005,4,3,0,32.41,Development
10710210935,FL,Accept,3,20060711,645,Y,N,13260,Y,Y,24300,W,Q,Z,1,36,M,RR,O,100,800,110,2.5,Bad,29,200607,748,1,1,2,183.26,Development
10028612803,VL,Decline,,20061009,665,N,N,6720,Y,N,5000,W,S,M,0,999,M,OT,T,700,8,7,2,Rejects,30,200610,784,3,0,0,74.4,Development
10537515917,FL,Decline,,20060705,830,N,N,9000,Y,Y,43500,W,B,S,0,36,M,OT,T,102,1200,702,2,Rejects,29,200607,807,2,1,0,483.33,Development
10226522328,FL,Accept,,20060624,905,N,N,10800,Y,N,1500,W,S,M,1,12,M,OT,H,1000,200,810,2,NTU,31,200606,818,1,3,0,13.89,Development
10270283403,FL,Decline,,20070125,705,N,N,27000,Y,N,15000,X,S,M,3,48,M,RR,H,600,108,1310,2,Rejects,46,200701,763,3,0,0,55.56,Development
10425453754,FL,Accept,1,20060506,960,Y,N,30000,Y,N,6000,W,B,M,0,36,M,RR,H,1500,3000,302,2,Good,54,200605,946,1,1,0,20,Development
10847310309,VL,Decline,,20061207,685,N,N,22000,Y,Y,5000,X,S,M,2,999,M,RR,T,206,206,12,2,Rejects,39,200612,753,3,0,0,22.73,Development
10243002711,VL,Accept,1,20060606,670,N,Y,14000,Y,Y,2100,M,B,S,0,999,O,RR,O,300,107,206,2,Good,28,200606,713,2,1,0,15,Development
10108897278,FL,Accept,1,20061006,725,N,N,13000,Y,Y,3985,M,Q,S,0,36,B,RR,T,2000,700,207,2,Good,21,200610,815,1,0,5,30.65,Development
10824401885,VL,Accept,4,20060231,895,Y,N,18000,Y,Y,6000,M,Q,M,2,999,M,OT,T,100,106,208,2.5,Bad,38,200602,874,2,2,0,33.33,Development
10935794446,VL,Accept,2,20060221,920,N,N,10000,Y,Y,4500,W,Q,S,0,999,B,RR,H,501,804,404,2,Indeterminate,26,200602,948,2,2,0,45,Development
10361413505,VL,Accept,0,20061004,970,Y,N,0,Y,N,2000,,,M,0,999,P,RR,H,1306,0,802,2,Good,58,200610,997,1,2,0,-9999997,Development
10609953143,FL,Accept,1,20060912,705,N,N,15000,Y,Y,1084,W,Q,M,1,12,M,RR,T,900,2100,102,2,Good,40,200609,796,1,0,1,7.23,Development
10843686720,FL,Accept,0,20061016,1005,Y,Y,65000,Y,N,15000,M,B,S,0,36,P,RR,H,201,605,1305,2,Good,38,200610,980,1,0,0,23.08,Development
10674666125,VL,Accept,1,20060503,910,Y,N,5500,Y,Y,1500,M,B,S,0,999,M,RR,O,2200,6,305,2,Good,22,200605,928,1,0,0,27.27,Development
10842537928,VL,Accept,,20061218,925,N,N,10000,Y,N,1000,W,S,M,2,999,B,RR,H,1603,2500,1309,2,NTU,45,200612,922,1,2,0,10,Development
10052532089,VL,Accept,1,20061204,945,Y,N,15000,Y,N,4000,W,B,S,1,999,M,RR,T,500,400,1002,2,Good,36,200612,983,1,2,0,26.67,Development
10007595658,FL,Accept,,20060804,960,Y,Y,25000,Y,N,10000,X,Q,M,3,999,M,RR,H,901,1500,804,2,NTU,38,200608,946,1,1,0,40,Development
10382851414,VL,Accept,,20061222,935,N,N,0,Y,N,4000,,,M,0,999,P,OT,H,1700,0,611,2,NTU,60,200612,951,1,0,0,-9999997,Development
10903608355,FL,Accept,0,20060808,1015,Y,N,10800,Y,N,760,M,B,D,0,12,B,RR,T,3500,2000,209,2,Good,53,200608,930,1,0,0,7.04,Development
10381126848,FL,Accept,1,20060818,955,Y,N,27000,Y,N,5000,F,B,D,2,999,B,RR,H,201,700,1202,2,Good,34,200608,905,4,0,0,18.52,Development
10035123223,FL,Accept,0,20060606,985,Y,N,17500,Y,N,5000,M,B,M,2,999,M,RR,H,106,1600,1112,2,Good,42,200606,1013,1,3,0,28.57,Development
10772520433,FL,Accept,,20060611,895,N,N,9100,Y,N,4000,M,B,S,0,0,B,AD,L,800,310,302,2,NTU,26,200606,886,1,0,0,43.96,Development
10269327961,VL,Accept,1,20060507,925,N,N,18000,Y,Y,3500,W,S,M,0,999,M,RR,H,1200,2000,1203,2,Good,44,200605,917,1,3,0,19.44,Development
10442568150,FL,Accept,0,20060228,985,Y,N,13500,Y,,0,M,B,D,2,999,B,RR,H,400,2000,409,2,Good,38,200602,972,1,0,0,-9999998,Development
10983069272,VL,Accept,1,20061107,725,N,N,15000,Y,Y,1200,W,S,M,0,999,M,RR,H,4900,3500,9,2,Good,52,200611,799,1,1,0,8,Development
10273916958,FL,Decline,,20060721,875,N,N,6000,Y,Y,750,M,B,S,0,0,M,AD,O,1900,7,406,2,Rejects,19,200607,903,1,0,0,12.5,Development
10410708938,FL,Accept,2,20061205,1060,Y,N,12592,Y,N,1250,M,B,S,0,12,B,RR,H,109,1109,901,2,Indeterminate,30,200612,1010,1,0,0,9.93,Development
10684793808,FL,Accept,1,20060409,955,Y,N,18500,Y,N,3000,W,B,M,4,60,M,RR,H,1000,700,1203,2,Good,38,200604,917,1,5,0,16.22,Development
10867938262,VL,Accept,,20070130,940,Y,N,13060,Y,Y,3500,M,B,M,0,999,B,RR,H,103,104,412,2,NTU,24,200701,940,2,1,0,26.8,Development
10877167281,FL,Accept,1,20061027,950,N,N,18775,Y,N,2500,X,X,M,1,36,M,OT,H,2400,2000,1111,2,Good,49,200610,989,3,0,0,13.32,Development
10816914328,FL,Accept,1,20060228,955,Y,N,18000,Y,,0,W,B,D,0,999,M,RR,H,300,800,804,2,Good,34,200602,917,2,3,0,-9999998,Development
10820925552,FL,Accept,,20060409,940,Y,N,22000,Y,Y,122700,M,B,S,0,48,B,RR,H,5,110,310,2,NTU,26,200604,928,2,4,0,557.73,Development
10874912266,FL,Accept,0,20061228,985,Y,N,20800,Y,Y,3700,M,B,M,1,999,B,RR,H,1500,1500,307,2,Good,55,200612,1017,1,3,0,17.79,Development
10733014702,VL,Accept,1,20060825,860,N,N,12000,Y,Y,1500,M,Q,D,1,999,B,RR,O,3001,900,204,2,Good,30,200608,826,1,3,0,12.5,Development
10706791486,FL,Accept,1,20060802,915,N,N,9000,Y,Y,543,W,B,D,0,12,M,OT,O,406,1900,4,2,Good,35,200608,810,1,0,0,6.03,Development
10474809825,FL,Accept,0,20060907,1020,Y,N,12000,Y,Y,2167,X,Q,S,0,12,M,RR,O,1000,1000,911,2,Good,26,200609,894,1,3,0,18.06,Development
10284831855,VL,Decline,,20060318,705,N,N,9700,Y,Y,2000,W,S,S,0,999,M,OT,H,2,200,0,2,Rejects,27,200603,740,3,0,0,20.62,Development
10107238773,VL,Decline,,20060606,665,N,N,12272,Y,Y,1000,W,B,M,3,999,M,RR,T,906,4,2,2,Rejects,36,200606,709,3,0,0,8.15,Development
10371852631,VL,Accept,,20061226,970,Y,N,0,Y,N,5000,,,M,0,999,P,RR,H,3700,0,1203,2,NTU,65,200612,982,1,0,0,-9999997,Development
10441039821,FL,Decline,,20060318,705,N,N,9000,Y,Y,4000,W,B,M,1,999,M,RR,H,206,302,110,2,Rejects,41,200603,753,3,0,0,44.44,Development
10492793174,FL,Accept,1,20060225,940,N,N,15561,Y,N,4000,M,B,S,0,36,B,RR,O,2400,1700,1005,2,Good,36,200602,972,1,0,0,25.71,Development
10488124217,VL,Accept,5,20061125,935,Y,N,31000,Y,Y,9600,M,X,M,3,999,M,RR,H,2,1900,1308,2.5,Bad,46,200611,868,4,3,0,30.97,Development
10346700174,FL,Accept,1,20060515,945,N,N,13500,Y,N,500,M,B,M,1,12,B,RR,H,500,800,4,2,Good,33,200605,840,1,2,0,3.7,Development
10000769019,VL,Accept,,20070130,950,Y,N,18000,Y,N,4000,M,B,S,0,999,P,RR,T,700,6,708,2,NTU,25,200701,976,1,0,0,22.22,Development
10242702710,VL,Accept,1,20060520,950,Y,N,10410,Y,Y,3600,F,B,M,0,999,B,RR,H,201,406,508,2,Good,25,200605,941,1,5,0,34.58,Development
10603595052,FL,Accept,1,20061025,875,N,N,12000,N,Y,543,W,B,S,0,12,M,AD,O,500,300,704,2,Good,24,200610,818,1,0,0,4.53,Development
10001811965,FL,Accept,1,20060319,960,Y,N,12000,Y,Y,18200,M,B,S,1,24,B,RR,H,6,3,602,2,Good,29,200603,973,2,4,0,151.67,Development
10385158817,FL,Accept,0,20060801,985,N,N,9000,Y,Y,1082,W,B,S,0,12,M,RR,O,3000,700,609,2,Good,36,200608,911,4,0,0,12.02,Development
10924551842,VL,Accept,1,20060503,930,Y,N,13000,Y,N,3000,M,B,S,0,999,B,RR,O,1300,102,404,2,Good,24,200605,928,1,1,0,23.08,Development
10154855369,VL,Accept,,20070112,975,Y,Y,12600,Y,N,4200,M,B,Z,2,999,B,RR,H,2400,600,706,2,NTU,49,200701,1039,1,2,0,33.33,Development
10008682261,FL,Accept,1,20060410,960,N,N,12000,Y,N,1500,W,S,M,0,12,M,RR,H,400,100,512,2,Good,28,200604,917,1,1,0,12.5,Development
10062696925,VL,Accept,,20061221,950,N,N,11200,Y,N,6000,W,B,M,0,999,M,RR,H,2300,3100,1212,2,NTU,46,200612,963,1,1,0,53.57,Development
10348109145,VL,Accept,1,20060619,710,Y,Y,10500,Y,Y,1700,M,B,S,0,999,B,RR,O,1200,3,112,2,Good,23,200606,794,1,3,0,16.19,Development
10790560327,FL,Accept,0,20070122,965,Y,N,8000,Y,N,1810,M,B,M,4,36,B,AD,H,1100,400,304,2,Good,44,200701,998,1,0,0,22.63,Development
10472349191,FL,Accept,0,20070112,985,Y,N,12592,Y,N,4400,M,B,M,0,36,B,RR,H,2100,2400,1212,2,Good,58,200701,1039,1,1,0,34.94,Development
10941389765,FL,Accept,1,20070118,935,N,N,0,Y,N,1750,,,W,0,999,P,RR,H,4610,0,3008,2,Good,80,200701,966,1,0,0,-9999997,Development
10186249660,FL,Decline,,20070124,665,N,N,15000,Y,Y,500,W,S,M,7,0,M,OT,T,104,100,8,2,Rejects,37,200701,744,3,0,0,3.33,Development
10231846651,FL,Accept,0,20061130,995,Y,N,9250,Y,Y,542,W,Q,M,2,9,M,RR,T,406,102,305,2,Good,27,200611,889,2,0,0,5.86,Development
10942493164,VL,Accept,1,20060402,705,N,N,18000,Y,Y,1500,W,B,M,1,999,M,RR,T,6,1106,307,2,Good,48,200604,798,4,2,0,8.33,Development
10740767232,VL,Accept,0,20060803,965,Y,N,23000,Y,Y,3000,M,B,M,1,999,B,OT,H,606,400,708,2,Good,29,200608,976,1,7,0,13.04,Development
10433928832,FL,Accept,1,20061226,820,Y,N,15000,Y,Y,84700,W,Q,M,2,48,M,RR,H,406,3,803,2,Good,29,200612,942,1,3,2,564.67,Development
10053742812,FL,Accept,1,20061129,685,N,N,14000,Y,Y,3124,M,B,M,2,36,M,OT,T,406,200,203,2,Good,26,200611,743,1,5,0,22.31,Development
10175450175,FL,Accept,1,20060403,885,N,N,10500,Y,Y,58000,M,B,M,2,36,B,RR,T,302,300,609,2,Good,46,200604,947,1,3,0,552.38,Development
10173736458,VL,Accept,1,20060304,835,Y,N,12000,Y,N,7500,F,S,S,0,999,M,RR,O,1206,8,503,2,Good,23,200603,928,1,0,1,62.5,Development
10347317373,FL,Accept,1,20060204,960,N,N,10000,Y,Y,7600,W,S,M,0,12,M,AD,T,1300,103,1206,2,Good,48,200602,920,1,0,0,76,Development
10405857112,FL,Accept,1,20060825,890,Y,N,11000,Y,N,7000,M,B,M,0,999,B,RR,H,605,300,112,2,Good,33,200608,834,1,2,0,63.64,Development
10702239466,FL,Accept,1,20061005,925,N,N,7300,Y,N,500,W,B,S,0,12,M,RR,O,800,4,208,2,Good,18,200610,865,1,0,0,6.85,Development
10482158309,FL,Accept,1,20060612,935,Y,Y,16000,Y,Y,5900,M,Q,S,0,999,B,AD,H,211,1905,212,2,Good,39,200606,871,1,0,0,36.88,Development
10084322416,FL,Accept,1,20060808,960,Y,N,22500,Y,N,2500,M,B,M,2,999,M,RR,H,4,1400,2,2,Good,32,200608,912,4,9,0,11.11,Development
10675147529,FL,Decline,,20060828,705,N,N,8500,Y,Y,3411,W,Q,S,0,36,M,OT,T,105,1100,701,2,Rejects,29,200608,777,3,0,0,40.13,Development
10470236258,VL,Accept,,20060409,935,Y,N,10000,Y,Y,2500,M,B,M,1,999,B,RR,H,509,1400,1201,2,NTU,39,200604,879,1,3,0,25,Development
10322559802,FL,Accept,0,20060418,1035,Y,N,7000,Y,N,1000,M,Q,M,2,12,B,RR,H,800,1200,11,2,Good,31,200604,898,1,7,0,14.29,Development
10943827762,FL,Accept,0,20070129,1000,Y,N,20000,Y,N,2000,X,X,M,1,999,P,RR,H,401,501,904,2,Good,31,200701,992,1,1,0,10,Development
10292043075,VL,Accept,,20070108,980,Y,N,14000,Y,N,4225,W,Q,M,0,999,M,RR,H,1000,1000,307,2,NTU,53,200701,993,2,2,0,30.18,Development
10984920768,VL,Accept,5,20060314,940,Y,N,10500,Y,N,4500,M,B,S,0,999,B,RR,O,2400,600,511,2.5,Bad,24,200603,910,1,2,0,42.86,Development
10445693325,FL,Accept,5,20060721,900,N,N,10000,Y,Y,1890,W,B,M,3,24,M,RR,H,2000,6,1011,2.5,Bad,44,200607,926,1,1,0,18.9,Development
10530734863,VL,Accept,,20070115,905,N,N,12480,Y,Y,6000,W,B,S,0,999,B,RR,O,1400,600,801,2,NTU,24,200701,925,1,1,0,48.08,Development
10853136265,FL,Accept,4,20060929,680,N,N,9400,Y,Y,2228,W,B,M,3,24,M,RR,T,500,6,210,2.5,Bad,27,200609,739,1,3,0,23.7,Development
10223599794,FL,Accept,0,20061004,1010,Y,N,30000,Y,Y,3000,M,B,M,3,999,P,RR,H,210,2400,1301,2,Good,49,200610,1021,1,0,0,10,Development
10888981035,VL,Accept,,20060627,815,Y,N,25000,Y,Y,4000,M,B,S,0,999,M,RR,H,100,400,3,2,NTU,21,200606,837,4,0,1,16,Development
10002046306,FL,Accept,0,20061103,965,Y,N,14000,Y,N,6000,M,B,M,2,36,B,RR,H,600,103,307,2,Good,28,200611,1001,1,3,0,42.86,Development
10046522596,VL,Accept,0,20060413,965,Y,N,21000,Y,N,3200,M,B,M,1,999,B,RR,H,102,400,903,2,Good,27,200604,972,4,2,0,15.24,Development
10829356611,FL,Accept,0,20061115,1000,N,N,14000,Y,Y,978,M,B,M,3,12,B,RR,H,1300,1800,1112,2,Good,37,200611,942,1,2,0,6.99,Development
10105732853,FL,Accept,,20060326,985,Y,N,13300,Y,N,7000,W,B,S,0,999,M,RR,H,201,1100,1102,2,NTU,49,200603,976,1,0,0,52.63,Development
10429448737,FL,Accept,1,20060617,920,N,N,9500,Y,N,700,M,B,S,0,10,B,AD,O,1500,107,306,2,Good,22,200606,951,1,1,1,7.37,Development
10485203826,FL,Accept,1,20060402,910,N,N,0,Y,N,3300,,,M,6,38,P,RR,H,6,0,11,2,Good,50,200604,896,1,7,0,-9999997,Development
10434010733,FL,Accept,0,20061205,970,Y,Y,30000,Y,N,5000,M,B,M,1,999,P,RR,H,201,100,1303,2,Good,30,200612,1014,2,3,0,16.67,Development
10489189312,FL,Accept,6,20060524,980,Y,N,12000,Y,Y,43500,F,B,M,0,36,M,RR,H,808,1000,1112,2.5,Bad,58,200605,970,1,0,0,362.5,Development
10095912776,VL,Accept,1,20060627,830,N,N,10000,Y,Y,1500,W,B,S,0,999,M,RR,O,2100,500,612,2,Good,21,200606,911,1,0,1,15,Development
10154176188,FL,Accept,0,20060829,970,Y,N,0,Y,N,4000,,,M,0,36,P,RR,H,2600,0,1306,2,Good,64,200608,982,1,2,0,-9999997,Development
10025361644,VL,Accept,,20060815,975,Y,N,15502,Y,N,7600,W,Q,M,1,999,M,RR,H,210,410,904,2,NTU,31,200608,979,1,1,0,49.03,Development
10315786415,VL,Accept,,20070109,935,Y,N,16000,Y,N,3700,W,Q,S,0,999,B,RR,T,10,900,511,2,NTU,47,200701,950,2,0,0,23.13,Development
10609651647,VL,Decline,,20060711,905,Y,N,3600,Y,Y,1000,M,B,D,0,999,O,AD,T,1200,407,1201,2,Rejects,44,200607,935,1,1,0,27.78,Development
10979239092,FL,Decline,,20060416,825,N,N,13000,Y,Y,500,F,Q,S,0,0,M,RR,T,300,700,8,2,Rejects,37,200604,814,3,0,0,3.85,Development
10549198548,FL,Accept,0,20061023,1025,N,N,4000,Y,Y,869,M,B,M,0,12,B,RR,H,1400,2600,1212,2,Good,59,200610,959,1,1,0,21.73,Development
10772345773,FL,Accept,0,20060705,970,N,N,8000,Y,N,500,W,B,S,0,12,B,AD,O,2000,209,110,2,Good,24,200607,888,1,2,0,6.25,Development
10128000640,FL,Accept,1,20060214,915,N,N,3360,Y,N,2000,W,S,Z,1,30,B,RR,H,1410,500,1204,2,Good,60,200602,946,1,3,0,59.52,Development
10923202736,FL,Accept,0,20061121,1000,Y,Y,24000,Y,N,4000,M,B,M,1,24,B,RR,H,1208,1501,1301,2,Good,44,200611,961,1,2,0,16.67,Development
10092996080,VL,Accept,,20061109,970,Y,Y,16000,Y,N,15000,M,B,M,1,999,P,RR,H,1700,2,1308,2,NTU,51,200611,1012,1,1,0,93.75,Development
10800321264,FL,Accept,0,20061004,1005,Y,N,12000,Y,Y,1084,M,Q,S,0,12,B,RR,O,2000,205,702,2,Good,24,200610,930,1,0,0,9.03,Development
10991953489,FL,Accept,4,20060325,860,N,N,7800,N,Y,8400,M,B,S,0,18,M,OT,T,0,6,406,2.5,Bad,22,200603,902,2,0,0,107.69,Development
10911560686,FL,Accept,0,20060828,965,Y,N,8000,Y,N,5242,F,B,M,1,36,M,RR,T,800,1300,1110,2,Good,30,200608,972,1,0,0,65.53,Development
10788267036,FL,Accept,0,20060923,985,Y,Y,50000,Y,N,2500,M,B,M,2,999,B,RR,H,906,3006,1307,2,Good,51,200609,1027,1,2,0,5,Development
10975039431,VL,Accept,,20060627,810,N,N,13500,Y,Y,600,M,B,S,0,999,M,OT,T,1207,400,9,2,NTU,36,200606,803,1,0,0,4.44,Development
10562523174,VL,Accept,0,20061026,985,Y,N,19000,Y,Y,5380,X,X,M,0,999,M,RR,H,2006,2500,1207,2,Good,54,200610,1005,1,1,0,28.32,Development
10784579805,FL,Accept,0,20060304,985,Y,N,30000,Y,,0,M,B,M,4,999,B,RR,H,500,2902,1204,2,Good,48,200603,1032,1,1,0,-9999998,Development
10884151370,FL,Accept,,20060624,905,N,N,13000,Y,Y,10000,W,Q,M,1,999,M,RR,H,1700,400,1202,2,NTU,41,200606,911,2,0,0,76.92,Development
10421903008,FL,Accept,0,20060808,995,Y,N,3500,Y,Y,1670,M,B,M,0,24,M,AD,H,806,702,701,2,Good,47,200608,961,1,1,0,47.71,Development
10168395898,VL,Accept,1,20070123,915,N,N,12000,Y,Y,1500,M,B,S,0,999,B,AD,H,108,600,601,2,Good,28,200701,941,1,2,0,12.5,Development
10273913687,VL,Accept,1,20060814,910,Y,Y,13000,Y,N,500,W,S,S,0,999,M,RR,O,2200,6,509,2,Good,23,200608,912,1,4,0,3.85,Development
10177432895,FL,Accept,1,20060928,915,N,N,12500,Y,N,1750,W,S,M,1,14,M,RR,H,2600,1900,1307,2,Good,64,200609,844,1,1,0,14,Development
10231919334,FL,Accept,1,20060923,920,N,N,7280,Y,N,1000,W,S,M,1,18,M,RR,H,2008,106,1203,2,Good,53,200609,940,1,1,0,13.74,Development
10468032760,FL,Accept,,20060228,1000,N,N,10015,Y,Y,9200,W,Q,M,4,12,M,RR,H,603,1300,901,2,NTU,40,200602,917,1,5,0,91.86,Development
10811190771,FL,Accept,1,20060418,895,N,N,8840,Y,Y,12800,W,S,S,0,18,M,RR,O,2100,408,111,2,Good,22,200604,846,1,3,0,144.8,Development
10048076342,FL,Accept,1,20060306,940,Y,Y,47500,Y,,0,M,B,M,0,999,B,RR,H,104,110,108,2,Good,33,200603,887,1,1,0,-9999998,Development
10400818133,FL,Accept,1,20060928,935,Y,Y,26000,Y,N,5500,M,Q,M,3,36,M,RR,H,500,1100,1106,2,Good,34,200609,875,4,0,0,21.15,Development
10117316039,VL,Accept,2,20061108,970,Y,N,0,Y,N,1000,,,M,0,999,P,RR,H,900,0,1009,2,Indeterminate,77,200611,982,1,1,0,-9999997,Development
10582204249,FL,Accept,0,20070123,985,N,N,9000,Y,N,1000,W,B,S,0,6,M,RR,O,3200,1000,311,2,Good,32,200701,948,1,0,0,11.11,Development
10565042800,VL,Accept,1,20060828,920,Y,N,12000,Y,N,1000,M,B,M,1,999,M,RR,H,703,3,1303,2,Good,47,200608,893,1,0,0,8.33,Development
10580362413,FL,Accept,0,20070117,985,Y,N,31000,Y,N,9500,M,B,M,3,60,B,RR,H,400,1300,1208,2,Good,34,200701,1027,1,1,0,30.65,Development
10739613275,FL,Accept,1,20060914,920,Y,N,9000,Y,Y,3402,M,B,M,2,30,M,RR,T,301,201,803,2,Good,32,200609,935,1,3,0,37.8,Development
10587869279,FL,Accept,1,20061122,945,Y,N,10000,Y,Y,2230,W,B,S,1,24,M,RR,O,900,300,308,2,Good,27,200611,942,1,0,0,22.3,Development
10603508059,FL,Decline,,20061019,645,N,N,9500,N,Y,3988,W,Q,M,3,36,M,RR,T,600,3,204,2,Rejects,27,200610,787,3,0,0,41.98,Development
10040660006,FL,Accept,1,20061011,955,Y,Y,10000,Y,N,7000,W,B,S,0,60,M,RR,T,206,500,410,2,Good,31,200610,968,1,1,0,70,Development
10923822286,VL,Accept,1,20070119,840,N,N,9000,Y,N,1000,W,B,M,3,999,M,RR,T,204,10,204,2,Good,26,200701,854,1,0,0,11.11,Development
10051874908,FL,Accept,0,20060829,980,Y,N,17000,Y,N,3600,M,B,M,1,24,B,RR,H,106,400,505,2,Good,24,200608,990,1,3,0,21.18,Development
10058901344,FL,Accept,0,20060706,995,Y,N,12200,Y,N,2500,W,Q,M,0,24,M,RR,H,1900,1000,1208,2,Good,70,200607,1008,1,1,0,20.49,Development
10762891434,FL,Decline,,20060416,710,N,N,11440,Y,Y,71300,W,S,S,0,36,M,RR,O,1500,1000,210,2,Rejects,26,200604,753,3,0,0,623.25,Development
10256347216,FL,Accept,0,20061229,970,Y,N,8000,Y,Y,5693,W,B,S,0,36,B,RR,O,1300,1000,609,2,Good,26,200612,969,1,5,0,71.16,Development
10761117518,VL,Accept,1,20061109,925,Y,N,12700,Y,Y,1200,M,B,S,0,999,B,RR,T,2,10,909,2,Good,29,200611,974,2,2,0,9.45,Development
10349039719,FL,Accept,0,20060718,1005,Y,N,19500,Y,N,4200,M,B,M,0,30,P,RR,H,307,606,1006,2,Good,30,200607,1014,1,0,0,21.54,Development
10804789571,FL,Accept,1,20060207,880,N,N,17000,Y,,0,W,B,M,3,999,M,RR,H,800,306,203,2,Good,31,200602,846,1,5,0,-9999998,Development
10496463110,FL,Accept,1,20060726,925,N,N,10000,Y,Y,2862,M,Q,M,0,30,M,RR,H,1600,1600,311,2,Good,55,200607,929,1,1,0,28.62,Development
10711119715,FL,Accept,1,20060608,915,Y,Y,18000,Y,Y,78900,W,S,M,2,48,M,RR,H,1200,204,610,2,Good,33,200606,846,1,2,0,438.33,Development
10581309513,VL,Accept,0,20060502,970,Y,N,22700,N,N,2000,M,B,M,0,999,P,RR,T,3,1305,302,2,Good,47,200605,957,2,0,0,8.81,Development
10986596191,FL,Accept,1,20060802,960,N,N,7032,Y,N,1000,M,B,M,1,12,M,RR,T,1600,102,501,2,Good,35,200608,944,1,1,0,14.22,Development
10806778367,FL,Accept,0,20060822,980,Y,N,15000,Y,N,7000,W,X,M,1,999,M,RR,H,400,800,312,2,Good,29,200608,1009,1,3,0,46.67,Development
10134581945,FL,Accept,2,20060830,935,N,N,12000,Y,N,1000,W,Q,M,3,24,B,RR,H,600,1000,801,2,Indeterminate,34,200608,948,1,7,0,8.33,Development
10253121906,FL,Accept,0,20060203,1030,Y,N,14000,Y,Y,9200,M,B,M,0,12,B,RR,H,1406,800,111,2,Good,50,200602,931,1,3,0,65.71,Development
10757661991,VL,Accept,,20070123,930,Y,N,10000,Y,N,7300,W,B,S,0,999,B,RR,O,209,200,1010,2,NTU,22,200701,929,4,0,0,73,Development
10918808536,VL,Accept,1,20060404,955,Y,N,12500,Y,Y,1000,M,B,M,2,999,B,RR,H,3,900,107,2,Good,31,200604,902,2,4,0,8,Development
10431603660,FL,Accept,1,20060210,920,Y,N,8320,Y,,0,W,B,M,2,999,M,RR,H,102,2,1110,2,Good,38,200602,904,2,2,0,-9999998,Development
10801886148,FL,Accept,0,20070119,1005,Y,N,18636,Y,N,6000,M,B,M,0,36,P,RR,H,1500,1000,1310,2,Good,40,200701,1014,1,0,0,32.2,Development
10341829927,FL,Accept,1,20061121,865,N,N,10000,Y,N,2600,W,S,S,0,48,M,RR,H,2000,500,105,2,Good,36,200611,834,1,0,0,26,Development
10795572601,FL,Decline,,20060208,885,N,N,12500,N,Y,12200,M,B,Z,1,24,B,RR,H,300,403,411,2,Rejects,29,200602,880,2,1,0,97.6,Development
